company_id,company_name,document_folder,file_name,relative_path,file_type,document_type_inferred,page_count,axes_detected_from_sample,sample_text
NORDZUCKER,Nordzucker AG,00_nordzucker,230306-NZ_Nachhaltigkeitsstrategie_EN.pdf,00_nordzucker/230306-NZ_Nachhaltigkeitsstrategie_EN.pdf,pdf,sustainability_report,13.0,finance;sustainability;operations;products;risk;regulation,Sustainability strategy         Sustainable  sourcing Sustainable  products Sustainable  production Caring  for People  Excellence in sustainability – our new strategy to get us to 2030         Sustainable  sourcing Sustainable  products Sustainable  production Caring for people  Good and healthy wo
NORDZUCKER,Nordzucker AG,00_nordzucker,240305-NZ_Nh_Transparency_E.pdf,00_nordzucker/240305-NZ_Nh_Transparency_E.pdf,pdf,other,8.0,sustainability;operations;products;risk;investment,"Transparency and measurability –   for results that count  Sustainable progress is also expressed in figures. They make our successes visible and show us where we need to do  even better in the future. That is why we have been tracking sustainability-relevant values for many years, from resource  us"
NORDZUCKER,Nordzucker AG,00_nordzucker,250527_Annual-report-Nordzucker_2024_2025.pdf,00_nordzucker/250527_Annual-report-Nordzucker_2024_2025.pdf,pdf,annual_report,111.0,finance;operations;products;risk;regulation,Annual Report  2024/2025 Focus  Future   Navigation in the report  with a mouseclick 	 Table of contents 	 Chapter separators 	 Search within PDF Further   information 	 Page reference 	 Internet reference This interactive PDF is optimised for use  with Adobe Acrobat. 	 3	 Letter from the Executive 
NORDZUCKER,Nordzucker AG,00_nordzucker,260528_Nordzucker_Annual-Report-2025_26.pdf,00_nordzucker/260528_Nordzucker_Annual-Report-2025_26.pdf,pdf,annual_report,110.0,finance;operations;products;risk,Annual Report 2025/2026 Shaping  the Future  as a Team  Navigation in the report  with a mouseclick 	 Table of contents 	 Chapter separators 	 Search within PDF Further   information 	 Page reference 	 Internet reference This interactive PDF is optimised for use  with Adobe Acrobat. Contents 	 3	 Le
SUEDZUCKER,Südzucker AG,01_suedzucker,2025-26_Financial_statements_Suedzucker_AG.pdf,01_suedzucker/2025-26_Financial_statements_Suedzucker_AG.pdf,pdf,financial_statements,51.0,finance;operations;risk;regulation;investment,            FINANCIAL STATEMENTS    SÜDZUCKER AG  DATED 28 FEBRUARY 2026 (GERMAN GAAP - HGB)               2    The annual report is also available in German. This translation is provided for convenience only and  should not be relied upon exclusively. The German version of the annual report is defi
SUEDZUCKER,Südzucker AG,01_suedzucker,GB_2025-26_Sugar-segment.pdf,01_suedzucker/GB_2025-26_Sugar-segment.pdf,pdf,other,6.0,finance;operations;products;risk;regulation;investment,"01 TO OUR SHAREHOLDERS 02 COMBINED MANAGEMENT REPORT 03 CONSOLIDATED FINANCIAL STATEMENTS 04 ADDITIONAL INFORMATION SÜDZUCKER AG Economic report  ANNUAL REPORT 2025/26 Sugar segment  At a glance € 2,786 million Revenues € – 177 million Operating result € 2,589 million Capital employed – 6.8 % ROCE S"
SUEDZUCKER,Südzucker AG,01_suedzucker,GB_2025-26_Sustainability-Statement.pdf,01_suedzucker/GB_2025-26_Sustainability-Statement.pdf,pdf,sustainability_report,104.0,finance;sustainability;operations;risk;regulation;investment,01 TO OUR SHAREHOLDERS 02 COMBINED MANAGEMENT REPORT 03 CONSOLIDATED FINANCIAL STATEMENTS 04 ADDITIONAL INFORMATION SÜDZUCKER AG Sustainability statement  ANNUAL REPORT 2025/26 General information This combined non-financial group statement (hereinafter also  referred to as “sustainability statement
SUEDZUCKER,Südzucker AG,01_suedzucker,Suedzucker_Annual_Report_2025-26.pdf,01_suedzucker/Suedzucker_Annual_Report_2025-26.pdf,pdf,annual_report,278.0,sustainability;operations;products;regulation,SÜDZUCKER AG ANNUAL REPORT  2025/26  Written value statements are standardized as follows: stable slight moderate significant ± 1 % ± 1 % ± 1 – 4 % ± 1 – 4 % ± 4 – 10 % ± 4 – 10 % > ± 10 % > ± 10 % CONTENTS  001 100 YEARS SÜDZUCKER  003 OVERVIEW  005 TO OUR SHAREHOLDERS  020 COMBINED MANAGEMENT REPO
PFEIFER_LANGEN,Pfeifer & Langen,02_pfeifer-und-langen,pfeifer-und-langen-downloads-sustainability-report-2023.pdf,02_pfeifer-und-langen/pfeifer-und-langen-downloads-sustainability-report-2023.pdf,pdf,sustainability_report,46.0,sustainability;operations;products;regulation,Taking responsibility. Sustainability at Pfeifer & Langen  Table of Contents 2  04  Foreword 06  Pfeifer & Langen at a glance 08  Towards the future 10  Sustainable sugar beet cultivation 16  For climate and environment 26 The human being in focus 32 Reliable supply chains  36 Resource-saving packag
PFEIFER_LANGEN,Pfeifer & Langen,02_pfeifer-und-langen,pfeifer-und-langen-nachhaltigkeitsbericht-2026.pdf,02_pfeifer-und-langen/pfeifer-und-langen-nachhaltigkeitsbericht-2026.pdf,pdf,sustainability_report,46.0,,"Unser Nachhaltigkeitsbericht.   Über das, was verbindet: Menschen,   Ideen und ein gemeinsames Ziel.     Auch  saure Gurken       brauchen    Zucker  Seite 54 Seite 36 Seite 78 Seite 22 Seite 72 Seite 04 Seite 66 01 Ernährung   verstehen Inhalt Pfeifer & Langen steht für Zucker, der so alltäglich i"
TEREOS,Tereos,03_tereos,annual-report-24-25.pdf,03_tereos/annual-report-24-25.pdf,pdf,annual_report,32.0,operations;products,Annual  Report 2024/25   Contents About Tereos  	   4	 Who are we? 	   6	 Editorials 	 10	 2024/25 financial performance 	 12	 Cultivating our connection with the Earth 	 16	 Industrial performance 	 20	 Acting sustainably Campaign reports 	 24	 Beet 	 26	 Alfalfa 	 28	 Cereals 	 30	 Sugarcane 2024/
TEREOS,Tereos,03_tereos,consolidated-financial-statements-full-year-25-26-eng-1.pdf,03_tereos/consolidated-financial-statements-full-year-25-26-eng-1.pdf,pdf,financial_statements,73.0,finance;investment,"  CONSOLIDATED FINANCIAL  STATEMENTS      TEREOS GROUP  For the year ended 31 March 2026       CONSOLIDATED FINANCIAL STATEMENTS TEREOS GROUP    2    CONSOLIDATED STATEMENT OF OPERATIONS OF TEREOS GROUP    For the year ended  (millions of euros)  Notes 31 March 2026 31 March 2025  Revenue  10  5,132"
TEREOS,Tereos,03_tereos,tereos-group-results-release-fy-2025-26.pdf,03_tereos/tereos-group-results-release-fy-2025-26.pdf,pdf,results_release,11.0,finance;sustainability;operations;products;risk;regulation;investment,"    Release  Paris, May 28, 2026  Annual Results 2025/26  Disciplined management amid weakened market conditions  (April 2025–March 2026)  •  In the context of a severe downturn across the sugar, alcohol/ethanol, starch and sweetener markets, Tereos  continued to pursue a tight cash flow management "
TEREOS,Tereos,03_tereos,tereos-non-financial-statement-2024-25.pdf,03_tereos/tereos-non-financial-statement-2024-25.pdf,pdf,financial_statements,45.0,finance;sustainability;operations;risk,"Non-financial statement 2024/2025  Tereos SCA is subject to the requirements of Article R. 225-105  of the French Commercial Code and is required to publish  an annual Non-Financial Statement, or NFS (Déclaration  de Performance Extra-Financière, or DPEF) which includes  workforce-related and enviro"
TEREOS,Tereos,03_tereos,tereos-presentation-full-year-2025-26.pdf,03_tereos/tereos-presentation-full-year-2025-26.pdf,pdf,presentation,20.0,finance;risk,"Tereos May 2026 Full Year 2025/26 Results  2 05/28/2026 Disclaimer This presentation has been prepared by Tereos SCA exclusively for the purpose of a presentation to institutional investors concerning Tereos  SCA and its consolidated subsidiaries (""Tereos""). This presentation includes only summary i"
EU_MARKET,EU sugar market,90_sugar_market,sugar-balance-sheet-presentation_en.pdf,90_sugar_market/sugar-balance-sheet-presentation_en.pdf,pdf,presentation,24.0,operations;products;risk;regulation,EU Sugar Balance AGRI G 4 Common Organisation of Agricultural Markets 25 February 2021 update  • 2017/2018 Final • 2018/2019 Final • 2019/2020 Final • 2020/2021 Forecast SUGAR AND ISOGLUCOSE BALANCE SHEET February 2021  2019/2020 - Sugar Production – Dec. 2020 tonnes Production white sugar areas yie
EU_MARKET,EU sugar market,90_sugar_market,sugar-balance-sheet_en.xlsx,90_sugar_market/sugar-balance-sheet_en.xlsx,xlsx,market_balance,,market,
EU_MARKET,EU sugar market,90_sugar_market,sugar-beet-prices-eu-detailed_en.xlsx,90_sugar_market/sugar-beet-prices-eu-detailed_en.xlsx,xlsx,market_price,,market,
EU_MARKET,EU sugar market,90_sugar_market,sugar-beet-prices-eu_en.pdf,90_sugar_market/sugar-beet-prices-eu_en.pdf,pdf,market_price,1.0,operations;products;regulation,AGRI E4 13/02/2026 Commission Regulation - R 2017/1185 Art. 12 (a) - Annex II 3. EU  Region 1 Region 2 Region 3 average (1) average (1) average (1) average (1) 2017/2018 25.7 25.1 25.4 31.7 2018/2019 23.2 24.7 22.3 27.8 2019/2020 23.4 25.9 22.2 28.0 2020/2021 25.8 25.3 25.9 27.7 2021/2022 28.9 29.4 
EU_MARKET,EU sugar market,90_sugar_market,sugar-dashboard_en.pdf,90_sugar_market/sugar-dashboard_en.pdf,pdf,market_dashboard,16.0,operations;products;risk," D G  A G R I   D A S H B O A R D :  S U G A R Last update: 26/06/2026  EU white sugar - April 26  White sugar - London N°5 - Aug. 26 term  Raw sugar - New York N°11 - Jul.26 term EU B A LA N C E SH EET  F OR  SUGA R  A N D  ISOGLUC OSE (Jun.26) Sources : DG Agri, DG Taxud, Reg. (EU) R 2017/1185, R "
EU_MARKET,EU sugar market,90_sugar_market,sugar-import-acp_en.pdf,90_sugar_market/sugar-import-acp_en.pdf,pdf,other,6.0,operations;products;risk,"AGRI G4 26/06/2026 Source : EUROSTAT Raw White Quantities (t) AVG price (EUR/t) Quantities (t) AVG price (EUR/t) Jul 2006 114,449 517 951 666 Aug 2006  129,100 514 1,258 663 Sep 2006 139,253 512 2,862 611 Oct 2006 143,792 512 1,947 725 Nov 2006 179,374 518 2,402 692 Dec 2006 105,625 516 5,270 613 Ja"
EU_MARKET,EU sugar market,90_sugar_market,sugar-import-acp_en.xlsx,90_sugar_market/sugar-import-acp_en.xlsx,xlsx,other,,market,
EU_MARKET,EU sugar market,90_sugar_market,sugar-market-situation_en.pdf,90_sugar_market/sugar-market-situation_en.pdf,pdf,market_report,39.0,products;risk,Sugar Market situation AGRI E 4 - Expert Group Common Market Organisation on  Arable Crops 25 June 2026  World Sugar Market  • Euro – Dollar  exchange rate: 1 € = $ 1.15 • One month ago* 1€ = $ 1.16 Exchange rates (19/06/2026) *Figures presented at the previous Committee 
EU_MARKET,EU sugar market,90_sugar_market,sugar-price-industial_en.pdf,90_sugar_market/sugar-price-industial_en.pdf,pdf,market_price,4.0,products;risk;regulation,"Regulation 318/2006, Article 4 OJL 58 28.2.2006 p1 Regulation 952/2006, Article 13,14, OJL 178 1.7.2006 p39 09/11/2017 Notification period from July 2006 to September 2017 Average price for industrial white sugar within the Community average (1) standard dev (2) July 2006 298 38 August 2006 314 39 S"
EU_MARKET,EU sugar market,90_sugar_market,sugar-price-industrial_en.xls,90_sugar_market/sugar-price-industrial_en.xls,xls,market_price,,market,
EU_MARKET,EU sugar market,90_sugar_market,sugar-price-producers_en.pdf,90_sugar_market/sugar-price-producers_en.pdf,pdf,market_price,4.0,products;risk;regulation,"Regulation 1234/2007, Article 9 OJ L 299 16,11,2007 p1 Regulation 952/2006, Articles 13, 14, OJ L 197 25,7,2008 p4 Commission Regulation - R 2017/1185 Art. 12 (a) - Annex II 1. average (2) standard  dev (3) 22 288 30 21 287 37 17 286 43 17 294 88 17 294 98 18 284 58 18 288 68 18 283 78 19 298 81 20 "
EU_MARKET,EU sugar market,90_sugar_market,sugar-price-producers_en.xls,90_sugar_market/sugar-price-producers_en.xls,xls,market_price,,market,
EU_MARKET,EU sugar market,90_sugar_market,sugar-prices-producers-regions_en.pdf,90_sugar_market/sugar-prices-producers-regions_en.pdf,pdf,market_price,3.0,regulation,Commission Regulation - R 2017/1185 Art. 12 (a) - Annex II 1. 26/06/2026 Region 1 Region 2 Region 3 average (1) std dev (2) average (1) average (1) average (1) October 2017 422 49 423 418 447 November 2017 411 44 407 405 455 December 2017 400 44 398 393 452 January 2018 371 29 376 365 407 February 2
EU_MARKET,EU sugar market,90_sugar_market,sugar-prices-producers-regions_en.xlsx,90_sugar_market/sugar-prices-producers-regions_en.xlsx,xlsx,market_price,,market,
